accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_val,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s,news_variant
0.5210891089108911,0.5483754512635379,0.5654196910478317,0.5567671584348942,0.0362168556902094,0.0011903983540832,0.0345021499921859,0.0234514418989419,-0.0011349916458129,0.5288118811881188,-0.0725825873893364,0.98668057,-99.95676,-99.9955,A3,concat,0,456,"[""price"", ""news""]",23116,6372,10100,14243,0.0219734000926846,58,1,0.005,64,30,1.0,64,0.0001,0.5,225.54385995864868,recency_10d
0.5402497208405238,0.5470124528733006,0.8946188340807175,0.678908188585608,0.0210705421442483,0.0005290648550726,0.0230014098496732,0.0178200528025627,-0.0139498710632324,0.4940615165972997,-0.0412454123504069,0.99334097,-95.85587,-97.91256,A3,concat,1,456,"[""price"", ""news""]",30474,9112,9851,14243,0.0436919435532689,33,1,0.005,64,30,1.0,64,0.0001,0.5,163.41289710998535,recency_10d
0.5034572602465177,0.5108903324417272,0.7824814670308232,0.6181706095399553,-0.0107157659235109,0.000559244886972,0.0236483590756739,0.018218383193016,-0.0031594038009643,0.514480408858603,-0.1412864282376478,0.97722465,-99.28975,-99.70274,A3,concat,2,456,"[""price"", ""news""]",38468,10972,9979,14243,0.0379415341695591,43,1,0.005,64,30,1.0,64,0.0001,0.5,264.7868821620941,recency_10d
0.5001000600360216,0.5139996871578288,0.634975845410628,0.568118948824343,-0.010162144362925,0.0005624484620057,0.0237159959100541,0.0183526948094367,-0.0673248767852783,0.4914948969381629,-0.3120597040075472,0.95131737,-99.92214,-99.9455,A3,concat,3,456,"[""price"", ""news""]",46657,12721,9994,14243,0.0136549808331176,31,1,0.005,64,30,1.0,64,0.0001,0.5,229.8771820068359,recency_10d
0.4966770048737262,0.5257985257985258,0.5354462051709759,0.5305785123966942,-0.0118295060907124,0.0003648505371529,0.019101061152537,0.0149409137666225,-0.0043803453445434,0.5194949047408064,0.3595456824015706,1.0593675,209.50601,-60.219,A3,concat,4,456,"[""price"", ""news""]",54070,15339,4514,14243,0.0128396586510654,117,1,0.005,64,30,1.0,64,0.0001,0.5,1097.2497520446775,recency_10d
0.5234653465346535,0.5485436893203883,0.5888702773124884,0.5679921012476439,0.0383036745009225,0.0011896901996806,0.0344918859977332,0.0234482605010271,-0.0005394220352172,0.5295049504950495,0.041182202129043,1.0076369,-99.461006,-99.86928,A3,concat,0,42,"[""price"", ""news""]",23116,6372,10100,14243,0.0227717263651192,54,1,0.005,64,30,1.0,64,0.0001,0.5,248.28602027893064,max_impact_10d
0.5374073698101716,0.5481643038894948,0.8452914798206278,0.6650496141124587,0.0222146787877637,0.0005220723105594,0.0228489017363953,0.0177171882241964,-0.0005487203598022,0.5432950969444726,1.3648525451490685,1.2475449,1931334000.0,-41.15841,A3,concat,1,42,"[""price"", ""news""]",30474,9112,9851,14243,0.0391414893475949,44,1,0.005,64,30,1.0,64,0.0001,0.5,266.5414810180664,max_impact_10d
0.5075658883655677,0.5163177339901478,0.6543113538821693,0.5771812080536913,0.0072107371294123,0.0005641214665956,0.0237512413695722,0.018280766904354,-0.0119069814682006,0.5147810401843872,0.2013594681391056,1.0333793,25.03624,-88.87348,A3,concat,2,42,"[""price"", ""news""]",38468,10972,9979,14243,0.0505605048257744,127,1,0.005,64,30,1.0,64,0.0001,0.5,986.4136488437651,max_impact_10d
0.5064038423053833,0.5152816367769639,0.7884057971014493,0.6232337890475826,-0.009884555218303,0.0005277753807604,0.0229733624173831,0.0180890318006277,-0.0015279054641723,0.5143085851510907,0.5475127297539579,1.0915145,19387.871,-80.869446,A3,concat,3,42,"[""price"", ""news""]",46657,12721,9994,14243,0.0108067925524579,41,1,0.005,64,30,1.0,64,0.0001,0.5,401.73652601242065,max_impact_10d
0.4971200708905627,0.5277056277056277,0.5083402835696413,0.5178419711129991,-0.007243005281485,0.0003648590645752,0.0191012843697821,0.0149323595687747,-0.0044038295745849,0.527027027027027,0.5382274283978468,1.090172,713.6632,-39.891224,A3,concat,4,42,"[""price"", ""news""]",54070,15339,4514,14243,0.0161010585524848,86,1,0.005,64,30,1.0,64,0.0001,0.5,22622.266674280167,max_impact_10d
0.4782178217821782,0.5392829900839055,0.1315838451516843,0.2115499700777977,0.0056525016904492,0.0013309635687619,0.0364823733981486,0.0249092243611812,-0.1193515062332153,0.501980198019802,-0.4383086785685359,0.92220646,-99.999985,-99.99999,A3,concat,0,123,"[""price"", ""news""]",23116,6372,10100,14243,0.0223844010483035,31,1,0.005,64,30,1.0,64,0.0001,0.5,148.28743410110474,max_impact_10d
0.5235001522688052,0.5723394898856641,0.4863602391629297,0.5258585858585859,0.0539977903343851,0.0005221943138167,0.0228515713642787,0.0177264995872974,-0.0007824897766113,0.5435996345548675,1.378044387506774,1.2502168,2325343200.0,-42.832863,A3,concat,1,123,"[""price"", ""news""]",30474,9112,9851,14243,0.0441860604142971,48,1,0.005,64,30,1.0,64,0.0001,0.5,298.9476580619812,max_impact_10d
0.4892273774927347,0.5030545607752265,0.4658603199375731,0.4837435429960498,-0.0202471132809741,0.0005608740611933,0.0236827798451388,0.0182317197322845,-0.0060818195343017,0.5113738851588335,-0.1566538228592675,0.9747791,-99.43345,-99.73979,A3,concat,2,123,"[""price"", ""news""]",38468,10972,9979,14243,0.0510514485987498,57,1,0.005,64,30,1.0,64,0.0001,0.5,442.28311109542847,max_impact_10d
0.4915949569741845,0.5111268939393939,0.4171980676328502,0.4594105755931482,-0.0114446551204174,0.000528085802216,0.0229801175413896,0.0180495474487543,-0.0021169185638427,0.5179107464478687,0.6205657975255804,1.1043437,56042.6,-67.96509,A3,concat,3,123,"[""price"", ""news""]",46657,12721,9994,14243,-0.0074287530220746,55,1,0.005,64,30,1.0,64,0.0001,0.5,514.9763038158417,max_impact_10d
0.4745237040319007,0.5164141414141414,0.1705587989991659,0.2564263322884012,-0.0137012667995241,0.0004116749332752,0.0202897741060665,0.0151999071240425,-0.1332811117172241,0.5303500221533008,0.7131112387687745,1.1211915,1988.9353,-51.233147,A3,concat,4,123,"[""price"", ""news""]",54070,15339,4514,14243,-0.0080065950407211,31,1,0.005,64,30,1.0,64,0.0001,0.5,337.28354001045227,max_impact_10d
0.5340594059405941,0.5450128222432177,0.751535455053043,0.6318260053199812,0.0433386095987166,0.001190202194266,0.0344993071563186,0.0234823208302259,-0.0009700059890747,0.5263366336633664,0.5727220689417397,1.1116375,66512.13,-97.6538,A3,concat,0,456,"[""price"", ""news""]",23116,6372,10100,14243,0.026079829746312,37,1,0.005,64,30,1.0,64,0.0001,0.5,176.17325091362,max_impact_10d
0.5401482083037256,0.5476245654692932,0.883034379671151,0.6760120154484337,0.0231071520799908,0.0005397702916525,0.0232329570148212,0.0178809873759746,-0.0344667434692382,0.4957872297228707,-0.1347221158655489,0.9784127,-98.914215,-99.527756,A3,concat,1,456,"[""price"", ""news""]",30474,9112,9851,14243,0.0421741896953947,32,1,0.005,64,30,1.0,64,0.0001,0.5,202.2768430709839,max_impact_10d
0.5056618899689348,0.5124435847840103,0.7752633632461958,0.6170328390652899,-0.0046145830000012,0.0005622129538096,0.023711030214009,0.0182096622884273,-0.0084834098815917,0.514380198416675,-0.0877460549408162,0.9857938,-98.42394,-99.6476,A3,concat,2,456,"[""price"", ""news""]",38468,10972,9979,14243,0.0418970765778437,72,1,0.005,64,30,1.0,64,0.0001,0.5,557.3620958328247,max_impact_10d
0.5,0.5143040822886532,0.6183574879227053,0.5615512854259893,-0.0090130463691774,0.0005635404377244,0.0237390066709717,0.0183675941079854,-0.0693970918655395,0.4898939363618171,-0.3289579376821729,0.94874984,-99.939026,-99.951706,A3,concat,3,456,"[""price"", ""news""]",46657,12721,9994,14243,0.0133013077627097,31,1,0.005,64,30,1.0,64,0.0001,0.5,289.9977169036865,max_impact_10d
0.4949047408063801,0.5243399339933993,0.5300250208507089,0.5271671505599337,-0.0148827579403496,0.0003645455581136,0.0190930761825747,0.0149343991652131,-0.0035407543182373,0.5237040319007532,0.4069962080740805,1.0674617,299.35428,-69.05181,A3,concat,4,456,"[""price"", ""news""]",54070,15339,4514,14243,0.017691580176187,123,1,0.005,64,30,1.0,64,0.0001,0.5,1353.0241389274595,max_impact_10d
